KA,名义功率(kW),小轮转速(r/min),带型,基准宽度Bd,Hamin,Hfmin,e,Fmin,δmin,轴孔径d
1.1,5.5,960,A,11 '/ 11,2.75 / 2.75,8.7 / 8.7,15 / 15,9 '/ 9,6 '/ 6,38 / 25,

小轮 / 大轮直径,传动比, 带基准长度, 中心矩, 小轮包角(°), 带速(m/s), 带的根数,建议带轮结构,槽轮角φ(°),最小带轮宽B,轮毂宽度L,最小外径da,轮毂直径d1,轮缘内径D1,腹板厚度C',预估毛坯质量(Kg)
125 / 250,2,2050,727.695,170.158,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
125 / 250,2,2050,727.772,170.159,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
125 / 250,2,2050,727.845,170.16,6.28319,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,130.5 / 255.5,76 / 50,95.6 / 220.6,0~0 / 9~16,5.10 / 7.04
140 / 280,2,1250,286.799,152.031,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1250,287.33,152.083,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1430,377.797,158.768,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1430,378.212,158.791,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1430,378.582,158.812,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1430,378.914,158.831,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1550,439.215,161.737,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1550,439.488,161.748,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1550,439.736,161.759,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1640,484.964,163.46,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1640,485.173,163.467,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
140 / 280,2,1750,540.366,165.156,7.03717,4,实心 / 孔板,38 / 38,63 / 63,76 / 50,145.5 / 285.5,76 / 50,110.6 / 250.6,0~0 / 9~16,5.50 / 7.85
